34589,370141,374391,374900
388724,389271,390512,390845
403384,403912,405166,405414
417907,418397,419638,419887
432344,432830,434084,434332
446791,447381,448590,448837
461400,461974,463226,463477
475957,476512,477763,478060
491797,492341,493582,493849
506499,507048,508299,508571
521175,521693,522937,523221
535826,536380,537624,537885
550471,550940,552914,553703
566312,566833,568064,568317
580809,581298,582555,582806
595366,595946,596712,596972
609511,610122,611370,611619
624128,624680,625931,626182
638674,639208,640411,640661
653170,653695,654945,655193
667804,668361,669598,669852
682299,682839,684092,684344
696823,697326,698575,698826
711382,711906,713159,713402
725909,726413,727654,727903
740407,740955,742205,742455
754947,755531,756771,757020
769584,770159,771409,771682
784368,784964,786218,786521
799114,799662,800903,801172
813687,814200,815450,815696
828197,828732,829947,830200
842713,843213,844468,844723
857223,857724,858932,859183
871655,872143,873381,873632
886129,886715,887952,888220
900901,901505,903700,904000
916564,917147,918358,918605
931074,931607,932857,933106
945603,946148,947392,947642
960131,960665,961922,962168
974625,975172,976419,976674
989167,989662,990907,991156
1003653,1004149,1005403,1005702
1018389,1018912,1020165,1020457
1033142,1033714,1034950,1035193
1047653,1048269,1049525,1049774
1062226,1062765,1064005,1064256
1076823,1077331,1078560,1078816
1091300,1091834,1093085,1093331
1105842,1106355,1107607,1107879
1120378,1120926,1122173,1122423
1134972,1135494,1136750,1137063
1149783,1150239,1151296,1151543
1164105,1164629,1165869,1166122
1178611,1179161,1180401,1180651
1193209,1193764,1195907,1196162
1208671,1209223,1210462,1210707
1223205,1223738,1224992,1225249
1237705,1238234,1239478,1239726
1252215,1252751,1253994,1254260
1267047,1267657,1268917,1270240
1282807,1283325,1284567,1284814
1297376,1297884,1299138,1299386
1311920,1312436,1313686,1313932
1326405,1326977,1328198,1328446
1340921,1341490,1342728,1342978
1355453,1355984,1357195,1357451
1369969,1370502,1371737,1372031
1384761,1385347,1386592,1386900
1399457,1400012,1401263,1401506
1413945,1414507,1415761,1416009
1428522,1428988,1430228,1430496
1443095,1443628,1444836,1445118
1457649,1458189,1459431,1459683
1472182,1472736,1473984,1474253
1486759,1487353,1488591,1488872
1501576,1502147,1503395,1504581
1517193,1517726,1518981,1519231
1531670,1532201,1533443,1533689
1546171,1546708,1547956,1548205
1560707,1561235,1562491,1562738
1575225,1575707,1576927,1577182
1589653,1590169,1591422,1591669
1604157,1604693,1605929,1606180
1618777,1619345,1620598,1620877
1633600,1634203,1635344,1635592
1648110,1648646,1649889,1650139
1662662,1663189,1664430,1664687
1677175,1677716,1678960,1679211
1691703,1692238,1693454,1693708
1706208,1706758,1708010,1708252
1720710,1721211,1722448,1722696
1735313,1735836,1737103,1737407
1750182,1750671,1752641,1752889
