top,aftblur,aftgray,aftthresh,afterode,aftcanny,afthough
17886191,17949359,17952214,17952844,18001619,18009955,18019734
18041132,18105118,18108202,18108829,18157605,18165769,18175721
18197053,18261521,18264501,18265149,18313827,18321655,18331211
18352253,18416438,18419463,18420175,18468970,18476607,18485844
18508184,18574380,18577611,18578249,18626817,18634152,18643992
18667399,18732918,18735913,18736526,18785239,18792713,18801230
18823202,18889047,18892017,18892479,18941165,18948644,18957220
18979057,19044740,19047697,19048205,19097180,19104740,19113266
19134758,19199888,19202901,19203394,19252189,19259699,19268183
19290033,19354820,19357682,19358169,19407225,19414861,19424282
19446097,19510416,19513355,19513951,19562741,19571354,19580226
19602219,19666058,19669119,19669744,19718515,19727152,19735565
19756833,19821472,19824343,19825049,19873935,19881451,19890167
19912156,19976316,19979207,19979884,20028589,20037124,20045264
20066570,20131156,20134001,20134597,20183336,20190727,20198607
20219561,20284206,20287344,20287950,20336547,20344364,20352427
20373605,20439016,20441893,20442483,20491168,20498860,20507316
20528004,20597151,20600025,20600622,20649391,20657754,20667284
20688749,20757880,20760845,20761477,20810338,20817996,20828690
20850477,20919954,20922847,20923471,20972262,20979909,20991018
21012695,21080615,21083687,21084382,21133700,21141266,21151918
21173769,21240983,21244119,21244683,21294603,21302516,21312108
21332918,21398268,21401175,21401794,21452837,21460465,21469765
21490913,21554220,21557153,21557803,21606575,21615119,21624685
21646343,21709745,21712748,21713280,21762929,21771613,21782190
21803299,21867549,21870724,21871316,21921559,21929730,21941820
21964457,22028431,22031348,22032062,22081281,22088823,22100936
22122582,22186325,22189167,22189589,22238682,22246454,22258573
22279995,22344979,22348120,22348715,22397366,22404946,22417112
22438410,22503644,22506530,22507235,22556013,22563584,22576754
22597992,22663056,22666013,22666609,22715276,22722810,22733651
22756051,22821819,22824956,22825576,22874175,22881731,22891179
22913241,22978254,22981214,22981707,23030688,23038256,23047435
23069153,23135007,23137830,23138303,23187263,23195116,23205277
23225931,23290564,23293699,23294436,23343201,23350793,23364840
23385898,23450237,23453347,23453878,23502836,23511069,23531100
23552677,23617543,23620575,23621210,23669958,23678190,23700364
23720743,23785379,23788438,23788897,23837816,23845328,23866934
23888453,23952497,23955740,23956344,24005132,24013391,24034948
24055330,24118876,24121813,24122518,24171282,24179037,24201951
24223584,24287830,24290833,24291336,24340214,24348439,24371884
24392568,24456369,24459231,24459863,24508661,24516882,24539837
24561019,24625579,24628478,24629075,24677814,24685949,24707908
24729977,24794200,24797078,24797696,24846403,24854661,24877168
24898676,24962505,24965346,24965778,25014403,25023041,25047880
25068735,25132539,25135820,25136438,25185155,25193413,25219923
25241476,25305318,25308305,25308777,25357353,25366047,25390732
25411531,25475344,25478377,25479235,25527674,25534516,25560678
25581300,25645023,25647869,25648410,25697247,25705604,25729969
25751645,25816557,25819399,25819998,25868743,25876389,25902595
25923320,25986647,25989555,25990265,26039087,26048106,26075090
26096765,26161034,26163964,26164542,26213445,26222247,26249747
26271109,26335134,26338208,26338910,26387594,26398595,26425741
26446965,26510292,26513223,26513836,26562416,26571007,26596385
26617115,26680720,26683605,26684228,26734807,26743311,26770775
26792354,26856482,26859440,26860015,26911597,26919316,26942816
26963258,27026460,27029344,27030069,27079019,27087060,27113810
27134379,27198700,27201595,27202214,27250984,27259179,27284450
27306009,27370416,27373343,27373908,27422609,27431314,27459386
27480751,27545030,27547886,27548533,27597311,27605664,27633292
27654505,27718759,27721557,27722007,27770606,27778685,27805534
27826920,27891041,27893960,27894393,27943370,27952185,27978162
27999643,28063889,28066972,28067518,28116555,28125040,28150583
28171083,28235412,28238310,28239014,28287775,28296522,28323283
28344593,28408266,28411520,28412196,28460895,28469119,28495050
28516476,28581069,28584202,28584836,28633596,28642210,28670740
28691931,28755674,28758862,28759448,28808165,28816758,28845194
28866463,28931327,28934410,28934917,28983914,28992251,29021031
29042392,29106440,29109553,29110209,29158926,29167171,29198146
29219806,29284128,29287154,29287793,29336571,29345039,29374956
29396399,29461667,29464546,29465136,29513803,29521393,29552316
29573747,29638364,29641209,29641831,29690517,29698091,29729648
29750973,29815730,29818661,29819147,29867878,29876053,29908760
29930211,29997434,30001824,30002322,30051316,30058896,30095564
30115676,30181302,30184660,30185162,30234101,30241623,30280165
30301873,30367194,30370177,30370785,30419661,30427168,30466721
30488651,30554899,30557798,30558514,30607585,30615107,30657281
30679982,30747278,30750132,30750764,30799541,30807328,30853875
30876214,30942297,30945184,30945796,30995026,31003536,31054720
31076329,31140954,31143845,31144574,31195664,31204490,31252922
31274425,31339370,31342506,31343145,31393867,31401432,31450629
31472055,31540209,31543078,31543544,31592567,31600292,31647562
31668940,31737861,31740714,31741315,31790161,31798106,31841862
31864429,31931189,31934064,31934594,31983572,31991187,32035777
32058570,32125711,32128590,32129200,32178006,32185710,32230144
32251879,32315695,32318795,32319509,32368494,32377134,32420648
32442186,32505789,32508721,32509448,32559579,32567932,32604648
32626400,32690492,32693375,32693990,32744731,32752238,32781827
32803515,32869629,32872507,32873138,32924694,32933354,32960374
32980819,33044327,33047177,33047810,33096525,33104931,33131243
33152571,33216697,33219616,33220075,33268732,33277442,33306513
33328069,33391514,33394265,33394566,33443336,33451713,33485151
33506710,33570611,33573622,33574162,33623111,33632104,33667229
33688839,33753919,33756855,33757314,33806402,33814745,33850707
33872342,33936995,33939904,33940630,33989411,33997929,34037464
34058937,34124027,34127118,34127764,34176388,34183940,34223826
34245266,34311159,34314143,34314480,34363387,34370931,34410993
34432626,34497542,34500358,34500972,34549940,34557756,34600309
34621166,34686387,34689277,34689989,34738897,34746500,34791704
34812702,34877297,34880606,34881047,34929866,34937450,34983396
35004956,35069391,35072232,35072953,35121716,35131394,35179926
35201385,35265659,35268538,35269200,35317943,35324954,35368729
35389066,35452752,35456093,35456555,35508154,35515847,35554187
35575735,35641768,35644725,35645239,35696582,35704128,35745757
35767061,35835708,35838654,35839243,35888092,35895701,35939227
35959536,36027912,36030795,36031552,36080223,36087805,36136278
36158301,36223744,36226617,36227130,36276196,36283679,36340617
36362231,36426082,36428973,36429541,36479161,36487627,36545583
36566839,36631108,36634271,36634909,36686149,36694573,36748632
36768895,36837178,36840072,36840679,36889500,36897055,36954313
36974711,37040113,37043065,37043675,37092354,37099899,37165646
37186431,37250768,37253672,37254402,37303181,37310919,37390128
37410241,37474007,37476982,37477695,37526584,37535394,37618239
37638113,37703264,37706589,37707204,37755912,37763573,37854923
37875496,37941094,37944178,37944795,37993443,38001048,38111928
38133183,38196843,38200194,38200872,38249642,38258588,38374982
38396376,38461565,38464513,38465117,38514320,38521874,38650211
38671313,38736823,38739717,38740316,38789010,38797607,38930077
38950921,39016064,39018913,39019349,39068302,39075744,39217762
39237713,39306284,39309234,39309703,39358814,39366509,39517179
39538009,39603500,39606841,39607481,39658404,39665956,39815682
39836399,39900397,39903351,39903957,39952721,39965430,40122698
40144736,40210943,40213923,40214395,40263442,40271318,40434573
40455497,40524819,40528288,40528897,40577825,40585524,40754562
40775316,40841170,40844443,40844954,40895482,40903046,41071457
41091115,41154779,41157635,41158262,41208349,41217071,41381650
41402945,41471582,41474482,41475189,41524159,41531495,41703206
41723984,41791707,41794794,41795142,41843921,41851268,42029807
42050863,42120163,42123043,42123697,42172546,42180187,42357991
42378794,42448298,42451491,42452124,42500988,42508517,42692549
42713002,42778906,42782035,42782692,42833334,42840637,43028034
43048376,43113043,43116045,43116494,43167657,43175296,43358367
43378345,43441962,43444873,43445497,43496138,43504721,43692897
43712547,43775933,43778846,43779474,43829440,43838238,44031686
44053391,44118161,44120959,44121459,44171001,44179894,44363668
44384922,44449989,44452875,44453488,44502343,44509852,44687422
44709180,44776217,44779474,44780080,44829078,44836508,45006197
45027335,45096118,45099034,45099605,45148346,45155854,45318192
45339156,45405849,45408949,45409537,45459680,45466999,45606608
45628004,45692133,45695116,45695614,45744926,45753265,45878590
45898574,45967121,45970080,45970489,46019589,46027184,46139180
46159274,46222519,46225632,46226140,46276679,46284793,46375929
46397246,46463939,46466987,46467644,46517691,46525086,46597361
46619177,46687516,46690367,46690969,46739795,46747084,46807020
46829675,46893701,46896746,46897223,46946066,46953653,47002276
47023951,47087390,47090300,47090834,47140333,47149025,47181428
47203981,47268220,47271094,47271594,47322519,47329902,47350919
47371752,47435266,47438353,47438976,47488711,47497453,47510394
47531775,47595254,47598131,47598872,47647668,47655687,47666943
47687911,47751553,47754605,47755178,47804073,47811437,47823907
47845211,47909538,47912556,47912982,47961901,47969549,47981551
48003996,48070158,48073055,48073662,48122512,48129769,48142106
48164328,48231618,48234581,48235204,48284073,48291340,48303529
48324660,48392616,48395520,48396123,48444891,48452273,48464419
48485175,48553793,48556659,48557291,48606108,48613542,48625632
48646497,48715380,48718351,48718948,48767759,48775041,48787451
48809009,48877577,48880530,48881136,48929949,48937487,48949780
48971580,49039488,49042685,49043272,49092561,49099899,49111778
49132595,49199000,49201879,49202370,49252527,49259926,49272421
49294503,49359838,49362706,49363067,49414310,49421557,49433690
49455593,49519779,49522746,49523207,49574425,49583168,49596561
49618169,49682735,49686167,49686639,49738159,49745190,49758603
49780340,49844478,49847327,49847770,49898616,49907286,49920583
49942253,50006652,50009841,50010464,50061748,50070590,50083294
50104707,50168970,50171945,50172557,50222692,50231011,50244633
50265962,50329997,50332970,50333446,50383249,50390271,50403669
50425121,50489174,50492361,50493006,50541897,50555783,50567957
50589368,50654025,50656894,50657466,50706379,50713795,50725031
50747682,50814604,50817505,50818103,50866886,50874364,50885971
50907945,50975031,50977918,50978552,51027533,51034977,51045631
51066252,51130769,51133978,51134596,51183485,51190871,51201720
51222344,51287995,51291256,51291869,51340428,51347967,51358793
51379342,51444924,51447977,51448464,51497335,51504688,51514560
51535107,51601011,51603982,51604584,51653225,51660565,51670499
51690983,51756010,51758900,51759380,51808319,51815908,51825818
51848649,51914204,51917191,51917778,51966429,51973511,51982474
52004246,52069005,52071929,52072659,52121454,52129799,52138183
52160093,52224398,52227287,52227858,52276539,52284761,52292609
52314326,52378367,52381335,52381958,52430696,52437966,52446449
52468710,52532174,52535332,52535957,52584646,52591137,52600810
52621774,52686439,52689440,52689882,52738611,52746208,52756092
52777681,52842965,52845752,52846268,52895297,52902798,52912271
52933472,52998614,53001494,53002131,53050824,53058272,53067015
53088750,53154719,53157746,53158247,53207086,53214586,53222684
53244428,53310193,53313092,53313585,53362384,53369872,53377666
53399458,53465404,53468264,53468870,53517492,53524935,53532552
53553027,53617801,53621148,53621649,53670368,53676711,53684196
