top,aftblur,aftgray,aftthresh,afterode,aftcanny,afthough,aftdrawing,1000000
973166,995271,997331,997984,1791064,1799379,1807025,1811482
1851225,1864894,1866652,1868751,1894168,1901772,1909525,1914114
1953374,1964420,1965202,1965482,2008362,2024321,2033798,2038817
2069317,2083180,2084275,2084656,2116937,2124270,2131611,2136217
2167465,2175847,2176604,2176882,2200076,2211730,2226384,2230832
2261175,2272206,2273239,2273607,2304342,2313054,2320109,2324484
2352932,2361464,2362222,2362510,2385389,2397280,2408658,2413405
2442674,2459921,2461002,2461377,2479419,2486716,2494324,2499859
2528464,2535465,2536078,2536305,2554658,2564310,2574372,2579473
2608794,2622198,2623246,2623614,2655105,2670466,2689494,2694520
2723190,2734097,2735133,2735500,2774115,2782191,2790830,2796101
2824399,2832769,2833526,2833802,2856616,2868327,2880949,2886529
2918155,2928461,2929269,2929572,2952998,2964883,2977274,2982654
3010652,3019557,3020315,3020590,3043419,3055293,3068445,3073180
3102679,3111320,3112142,3112439,3135289,3147068,3158534,3163093
3192848,3200113,3200721,3200947,3235092,3252823,3268031,3272100
3301371,3313429,3314431,3315210,3350446,3357318,3364310,3368413
3396597,3405211,3405845,3406088,3424578,3434624,3441379,3445403
3473587,3483428,3484115,3484439,3509035,3524420,3535175,3538638
3567264,3578231,3579273,3579641,3611165,3626537,3640993,3644093
3673024,3686022,3687093,3687477,3721489,3728689,3735948,3739144
3767559,3775925,3776693,3777265,3800086,3811903,3825642,3829490
3857642,3868725,3869777,3870148,3901682,3908985,3915058,3918004
3945850,3952877,3953488,3953716,3972799,3984329,3992890,3996155
4024410,4030664,4031173,4031367,4046308,4058041,4067119,4069654
4099653,4110551,4111606,4111977,4152482,4160742,4167948,4170762
4199211,4207785,4208421,4208670,4229212,4239481,4247443,4250374
4280265,4287304,4287846,4288063,4312315,4324187,4333953,4337029
4367479,4378320,4379379,4379747,4403219,4410560,4416826,4419727
4448873,4458452,4459223,4459529,4483936,4490863,4496746,4499861
4528944,4536637,4537281,4537552,4556022,4568750,4578146,4580949
4609875,4621081,4621868,4622165,4650208,4658558,4664534,4668129
4696258,4703268,4703870,4704098,4726378,4737923,4747607,4751749
4779989,4788562,4789350,4789642,4812473,4824183,4834788,4838992
4867398,4878453,4879502,4880727,4914238,4921547,4928254,4932547
4960838,4969315,4970075,4970355,4993209,5005138,5015351,5019391
5048740,5062291,5063359,5063733,5082349,5089543,5095780,5099409
5127862,5135856,5136458,5136700,5155093,5165710,5175907,5179708
5208115,5216504,5217282,5217561,5240331,5247087,5253612,5257646
5285364,5292373,5292978,5293206,5313553,5323946,5330510,5334727
5363792,5370988,5371591,5371818,5389780,5399577,5408799,5413504
5441850,5448307,5449179,5449620,5467129,5473332,5479388,5484481
5513836,5519962,5520463,5520655,5535462,5543959,5552357,5558209
5585532,5601484,5603693,5604094,5638923,5646245,5653567,5660015
5688345,5696838,5697598,5697874,5720699,5732493,5745367,5752216
5780575,5787700,5788302,5788533,5806485,5818279,5830714,5837458
5865893,5875533,5876234,5876801,5911156,5922215,5929292,5936593
5965755,5974451,5975186,5976144,6003726,6012180,6019670,6027045
6056097,6064886,6065673,6066405,6093700,6100944,6109952,6117340
6145016,6152608,6153231,6153465,6175865,6182266,6189372,6196924
6225524,6234496,6235280,6235708,6259394,6266520,6274932,6282909
6311474,6318461,6318995,6319202,6339295,6346484,6354453,6362961
6392555,6398838,6399376,6399860,6418592,6428563,6439746,6449197
6478522,6486812,6487613,6487849,6514128,6523554,6531496,6540731
6569136,6576106,6576617,6576813,6595528,6604586,6615509,6624235
6652802,6663789,6664589,6665338,6691006,6697459,6704586,6713891
6742251,6748608,6749114,6749312,6764179,6774227,6786231,6796183
6824135,6829734,6830178,6830373,6843435,6854900,6868225,6879762
6907674,6921618,6922660,6923028,6955225,6964036,6972011,6983433
7011701,7022756,7023805,7024177,7055693,7070460,7091222,7103606
7131278,7142160,7143203,7143594,7175084,7181932,7190528,7203243
7231208,7242194,7243235,7243603,7267911,7277399,7286376,7300501
7329077,7337266,7337779,7337976,7374459,7394484,7405401,7417120
7444382,7453301,7453946,7454576,7475931,7486456,7493999,7505640
7533256,7540327,7540929,7541176,7561011,7570435,7583529,7595003
7623192,7634939,7635975,7636342,7667851,7678330,7688968,7701574
7730349,7763464,7766723,7767321,7794227,7803310,7815617,7828121
7856953,7871885,7873174,7873849,7900691,7908772,7919056,7932627
7960997,7970504,7971660,7972145,7989175,7995342,8006374,8020413
8048184,8054627,8055178,8055476,8086787,8102855,8116735,8130956
8158642,8172789,8173739,8174354,8198792,8206141,8218693,8232738
8263588,8269783,8270282,8270561,8291880,8304804,8321468,8334931
8363106,8369233,8369740,8369936,8385168,8393270,8403836,8416915
8445028,8452097,8452702,8452959,8471377,8477477,8485031,8498717
8527069,8537491,8538256,8538535,8561388,8567803,8576553,8591072
8617913,8626507,8627264,8627543,8650874,8665525,8681700,8698942
8726941,8735399,8736167,8736475,8759412,8770640,8789680,8808685
8836864,8846935,8847703,8848111,8871394,8878375,8891176,8910005
8938701,8946135,8946803,8947173,8966363,8972854,8984890,9005140
9034894,9041384,9041994,9042288,9061907,9074247,9094293,9115215
9144457,9153347,9154149,9154528,9171423,9179998,9196249,9216618
9244567,9251442,9252105,9252472,9270388,9276787,9289276,9309957
9339482,9346289,9346664,9346824,9363643,9375374,9392838,9413639
9442694,9449880,9450506,9450736,9496406,9503481,9521720,9544871
9573868,9581719,9582312,9582511,9604123,9614736,9636115,9659018
9689241,9696380,9696850,9697038,9720448,9727075,9742661,9765043
9796167,9802360,9802771,9802934,9824500,9836337,9857763,9879937
9908588,9922168,9923034,9923259,9944852,9954391,9970195,9993500
10022203,10033211,10036162,10037417,10074879,10085596,10101439,10125866
10154233,10159659,10160290,10160535,10205559,10216896,10232922,10257965
10287185,10292286,10292672,10292829,10304292,10313711,10333629,10358462
10386982,10398020,10398785,10399073,10436118,10447115,10465363,10494129
10521181,10529577,10530335,10530611,10553485,10559943,10581355,10607668
10636116,10642276,10642776,10642969,10657805,10667228,10689262,10716887
10747130,10755750,10756531,10756812,10791311,10797835,10811706,10839066
10866254,10872897,10873564,10873943,10911645,10921410,10949847,10978380
11005385,11014370,11015138,11015415,11036165,11043312,11069596,11098676
11125565,11131804,11132316,11132514,11147405,11155614,11174402,11199101
11227520,11237428,11237970,11238170,11268196,11277102,11292633,11312080
11341929,11349286,11350203,11350586,11369958,11381834,11396344,11414313
11443680,11449226,11449656,11449828,11462541,11470731,11490332,11508488
11536725,11543848,11544471,11544705,11561957,11572251,11594831,11612725
11641328,11650300,11650924,11651175,11676169,11683473,11700666,11719152
11747928,11754537,11755073,11755387,11771884,11780940,11800528,11817816
11848543,11854739,11855252,11855447,11873720,11885794,11905341,11922065
11950187,11958763,11959560,11959843,11989453,12001848,12020448,12036249
12065672,12086562,12088305,12089090,12104153,12113330,12127920,12143447
12170767,12180829,12181622,12181916,12210133,12223028,12243280,12258871
12289666,12298438,12299202,12299483,12324897,12331747,12343621,12359278
12387246,12396152,12396902,12397181,12428644,12455044,12474439,12488542
12516811,12526945,12527737,12528020,12555686,12562310,12572874,12587292
